"Key","Source","Context","Example","zh-CN","zh-TW","fr","de","id","it","ja","ko","pt-PT","ru","es-ES"
"RGB_ColorType","RGB","","","","","RVB","","","","","RGB","","",""
"CMYK_ColorType","CMYK","","","","","CMYK","","","","","CMYK","","",""
"HSB_ColorType","HSB","","","","","HSB","","","","","HSB","","",""
"HSL_ColorType","HSL","","","","","HSL","","","","","HSL","","",""
"HWB_ColorType","HWB","","","","","HWB","","","","","HWB","","",""
"Lab_ColorType","Lab","","","","","Lab","","","","","","","",""
"Luv_ColorType","Luv","","","","","Luv","","","","","","","",""
"LChab_ColorType","LCh(ab)","","","","","LCh(ab)","","","","","","","",""
"LChuv_ColorType","LCh(uv)","","","","","LCh(uv)","","","","","","","",""
"xyY_ColorType","xyY","","","","","xyY","","","","","xyY","","",""
"XYZ_ColorType","XYZ","","","","","XYZ","","","","","XYZ","","",""
"Hue_Component","Hue","","","","","Nuance","","","","","","","",""
"Saturation_Component","Saturation","","","","","Saturation","","","","","채도","","",""
"HSB_Brightness_Component","Brightness","","","","","Luminosité","","","","","밝기","","",""
"HSL_Lightness_Component","Lightness","","","","","Lumière","","","","","명도","","",""
"RGB_Red_Component","Red","","","","","Rouge","","","","","빨강","","",""
"RGB_Green_Component","Green","","","","","Vert","","","","","초록","","",""
"RGB_Blue_Component","Blue","","","","","Bleu","","","","","파랑","","",""
"CMYK_Cyan_Component","Cyan","","","","","Cyan","","","","","청록","","",""
"CMYK_Magenta_Component","Magenta","","","","","Magenta","","","","","자홍색","","",""
"CMYK_Yellow_Component","Yellow","","","","","Jaune","","","","","노랑색","","",""
"CMYK_Key_Component","Key","","","","","Clé","","","","","카","","",""
"OK_ButtonText","OK","","","","","Ok","","","","","확인","","",""
"Cancel_ButtonText","Cancel","","","","","Annuler","","","","","취소","","",""
"Clear_ButtonText","Clear","","","","","Effacer","","","","","","","",""
"Searchbar_Prompt","Search","","","","","Rechercher","","","","","검색","","",""
"ColorEditor_DefaultWindowTitle","Select a color","","","","","Choisir une couleur","","","","","색상 선택","","",""
"GradientEditor_DefaultWindowTitle","Create a gradient","","","","","Créer un dégradé","","","","","","","",""
"GradientPalette_WindowTitle","Gradients","","","","","Dégradés","","","","","","","",""
"GradientInfo_WindowTitle","Gradient Info","","","","","Info de dégradé","","","","","","","",""
"ColorProperties_WindowTitle","Color Properties","","","","","Propriétés de couleur","","","","","색상 속성","","",""
"FirstTimeSetup_WindowTitle","ColorPane - First Time Setup","","","","","ColorPane – Première configuration","","","","","ColorPane - 처음 설정","","",""
"Settings_WindowTitle","Settings","","","","","Paramètres","","","","","설정","","",""
"ColorEditor_ToolbarButtonText","Color Editor","","","","","Éditeur de couleurs","","","","","색상 편집","","",""
"GradientEditor_ToolbarButtonText","Gradient Editor","","","","","Éditeur de dégradé","","","","","그라데이션 편집","","",""
"ColorProperties_ToolbarButtonText","Color Properties","","","","","Propriétés de couleur","","","","","색상 속성","","",""
"Settings_ToolbarButtonText","Settings","","","","","Paramètres","","","","","설정","","",""
"ColorEditor_ToolbarButtonHintText","Open the Color Editor","","","","","Ouvrir l'éditeur de couleurs","","","","","색상 편집 열기","","",""
"GradientEditor_ToolbarButtonHintText","Open the Gradient Editor","","","","","Ouvrir l'éditeur de dégradé","","","","","그라데이션 편집 열기","","",""
"ColorProperties_ToolbarButtonHintText","Open Color Properties","","","","","Ouvrir les propriétés de couleur","","","","","색상 속성 변경","","",""
"Settings_ToolbarButtonHintText","Open Settings","","","","","Ouvrir les paramètres","","","","","설정 열기","","",""
"APIInjectionConflict_Message","Another instance of ColorPane has already injected its API script!","","","","","Une autre instance de ColorPane a déjà injecté son script API !","","","","","","","",""
"APIInjectionFailure_Message","The API script could not be injected. Please make sure that you have allowed script injection and reload the plugin.","","","","","Le script API n'a pas pu être injecté. Assurez-vous que vous avez autorisé l'injection de script et rechargez le plugin.","","","","","","","",""
"AutoLoadColorPropertiesFailure_Message","Color Properties could not be automatically loaded. Please make sure that you have allowed HTTP requests for setup.rbxcdn.com and try again.","","","","","Les propriétés de couleur n'ont pas pu être chargées automatiquement. Veuillez vous assurer que vous avez autorisé les requêtes HTTP pour setup.rbxcdn.com et réessayez.","","","","","","","",""
"APIScriptReparent_Message","The API script was unexpectedly reparented","","","","","Le script API a été réparé de façon inattendue","","","","","","","",""
"APIScriptModification_Message","The API script was unexpectedly modified","","","","","Le script API a été modifié de façon inattendue","","","","","","","",""
"DataSavingLocked_Message","Data saving is locked to another session. You will need to close the other session(s) to modify settings and save palettes.","","","","","L'enregistrement des données est verrouillé dans une autre session. Vous devrez fermer les autres sessions pour modifier les paramètres et enregistrer les palettes.","","","","","","","",""
"UpdateCheckFailure_Message","Could not check for updates, got an error: {1}","","","","","Impossible de vérifier les mises à jour, une erreur est survenue : {1}","","","","","","","",""
"NewVersionAvailable_Message","A new version of ColorPane is available, please update at your earliest convenience.","","","","","Une nouvelle version de ColorPane est disponible, veuillez la mettre à jour dès que possible.","","","","","새로운 버전의 ColorPane을 사용할 수 있습니다, 되도록 빨리 업데이트해 주세요.","","",""
"Temperature_Label","Temperature","","","","","Température","","","","","색 온도","","",""
"Copic_BuiltInPaletteName","Copic Colors","BuiltInPalettes","","","","","","","","","","","",""
"Web_BuiltInPaletteName","Web Colors","BuiltInPalettes","","","","","","","","","","","",""
"Sequential_CBDataClass","Sequential","ColorBrewerPalettes","","","","","","","","","","","",""
"Diverging_CBDataClass","Diverging","ColorBrewerPalettes","","","","","","","","","","","",""
"Qualitative_CBDataClass","Qualitative","ColorBrewerPalettes","","","","","","","","","","","",""
"DataClass_SelectorText","Data Type","ColorBrewerPalettes","","","","","","","","","","","",""
"NumDataClass_SelectorText","Number of Data Classes","ColorBrewerPalettes","","","","","","","","","","","",""
"NoMatchingSchemes_Message","There are no schemes that satisfy this criteria","ColorBrewerPalettes","","","","","","","","","","","",""
"Hex_ColorLabel","Hex","ColorInformation","","","","","","","","","Hex","","",""
"Web_ColorLabel","Web","ColorInformation","","","","","","","","","","","",""
"NoAPIAlert_MainText","The Roblox API data has not been loaded. Please use the Load button to load the data.","ColorProperties","","","","","","","","","Roblox API 데이터가 불러와지지 않았습니다. 불러오기 버튼을 클릭하여 데이터를 불러오세요.","","",""
"NoAPIAlert_SecondaryText_NotEditMode","Note: To use Color Properties during testing, you must have already loaded the data with the ""Cache Roblox API data"" option enabled before testing.","ColorProperties","","","","","","","","","","","",""
"NoAPIAlert_SecondaryText_EditMode","This screen will change once the data has been loaded.","ColorProperties","","","","","","","","","","","",""
"Load_ButtonText","Load","ColorProperties","","","","","","","","","불러오기","","",""
"Loading_Message","Loading...","ColorProperties","","","","","","","","","불러오는 중...","","",""
"NoSelectionColorProperties_Message","The selected object(s) do not have any color properties","ColorPropertiesList","","","","","","","","","","","",""
"SelectionColorMultipleValues_Indicator","(Multiple)","ColorPropertiesList","","","","","","","","","(배수)","","",""
"CompareTo_Label","Compare to","ColorSorter","","","","","","","","","","","",""
"EmptySortAnchor_Indicator","(None)","ColorSorter","","","","","","","","","","","",""
"Sort_ButtonText","Sort","ColorSorter","","","","","","","","","","","",""
"ColorInformation_Page","Color Information","ColorToolPages","","","","","","","","","색상 정보","","",""
"ColorSorter_Page","Color Sorter","ColorToolPages","","","","","","","","","","","",""
