Key,Source,Context,Example,zh-CN,zh-TW,fr,de,id,it,ja,ko,pt-PT,ru,es-ES
RGB,RGB,,,,,,,,,,,,,
CMYK,CMYK,,,,,,,,,,,,,
HSB,HSB,,,,,,,,,,,,,
HSL,HSL,,,,,,,,,,,,,
HWB,HWB,,,,,,,,,,,,,
Lab,Lab,,,,,,,,,,,,,
Luv,Luv,,,,,,,,,,,,,
LChab,LCh(ab),,,,,,,,,,,,,
LChuv,LCh(uv),,,,,,,,,,,,,
xyY,xyY,,,,,,,,,,,,,
XYZ,XYZ,,,,,,,,,,,,,
Hue_Component,Hue,,,,,,,,,,,,,
Saturation_Component,Saturation,,,,,,,,,,,,,
HSB_Brightness_Component,Brightness,,,,,,,,,,,,,
HSL_Lightness_Component,Lightness,,,,,,,,,,,,,
RGB_Red_Component,Red,,,,,,,,,,,,,
RGB_Green_Component,Green,,,,,,,,,,,,,
RGB_Blue_Component,Blue,,,,,,,,,,,,,
CMYK_Cyan_Component,Cyan,,,,,,,,,,,,,
CMYK_Magenta_Component,Magenta,,,,,,,,,,,,,
CMYK_Yellow_Component,Yellow,,,,,,,,,,,,,
CMYK_Key_Component,Key,,,,,,,,,,,,,
