Key,Source,Context,Example,zh-CN,zh-TW,fr,de,id,it,ja,ko,pt-PT,ru,es-ES
JSONFile_ImportType,JSON file,,,,,,,,,,,,,
URL_ImportType,URL,,,,,,,,,,,,,
SelectObject_Prompt,Select a {1} from the Explorer,,,,,,,,,,,,,
WaitingForImport_Message,Waiting for import…,,,,,,,,,,,,,
URL_InputText,Type or paste a URL here,,,,,,,,,,,,,
RetrieveURL_ButtonText,Retrieve URL,,,,,,,,,,,,,
UseSelection_ButtonText,Use selection,,,,,,,,,,,,,
SelectAFile_ButtonText,Select a file,,,,,,,,,,,,,
ValidImport_Message,The {1} contains a valid palette,,,,,,,,,,,,,
InvalidSelection_Message,The selected object is not a {1},,,,,,,,,,,,,
Import_ButtonText,Import,,,,,,,,,,,,,
