"Key","Source","Context","Example","zh-CN","zh-TW","fr","de","id","it","ja","ko","pt-PT","ru","es-ES"
"RGB_ColorType","RGB","","","","","RVB","","","","","RGB","","RGB",""
"CMYK_ColorType","CMYK","","","","","CMYK","","","","","CMYK","","CMYK",""
"HSB_ColorType","HSB","","","","","HSB","","","","","HSB","","HSB",""
"HSL_ColorType","HSL","","","","","HSL","","","","","HSL","","HSL",""
"HWB_ColorType","HWB","","","","","HWB","","","","","HWB","","HWB",""
"Lab_ColorType","Lab","","","","","Lab","","","","","","","Lab",""
"Luv_ColorType","Luv","","","","","Luv","","","","","","","Luv",""
"LChab_ColorType","LCh(ab)","","","","","LCh(ab)","","","","","","","LCh(ab)",""
"LChuv_ColorType","LCh(uv)","","","","","LCh(uv)","","","","","","","LCh(uv)",""
"xyY_ColorType","xyY","","","","","xyY","","","","","xyY","","xyY",""
"XYZ_ColorType","XYZ","","","","","XYZ","","","","","XYZ","","XYZ",""
"Hue_Component","Hue","","","","","Nuance","","","","","","","Оттенок",""
"HPLuv_ColorType","HPLuv","","","","","","","","","","","","",""
"HSLuv_ColorType","HSLuv","","","","","","","","","","","","",""
"Oklab_ColorType","Oklab","","","","","","","","","","","","",""
"Saturation_Component","Saturation","","","","","Saturation","","","","","채도","","Насыщенность",""
"HSB_Brightness_Component","Brightness","","","","","Luminosité","","","","","밝기","","Яркость",""
"HSL_Lightness_Component","Lightness","","","","","Lumière","","","","","명도","","Освещенность",""
"RGB_Red_Component","Red","","","","","Rouge","","","","","빨강","","Красный",""
"RGB_Green_Component","Green","","","","","Vert","","","","","초록","","Зелёный",""
"RGB_Blue_Component","Blue","","","","","Bleu","","","","","파랑","","Синий",""
"CMYK_Cyan_Component","Cyan","","","","","Cyan","","","","","청록","","Бирюзовый",""
"CMYK_Magenta_Component","Magenta","","","","","Magenta","","","","","자홍색","","Пурпурный",""
"CMYK_Yellow_Component","Yellow","","","","","Jaune","","","","","노랑색","","Жёлтый",""
"CMYK_Key_Component","Key","","","","","Clé","","","","","카","","Ключ",""
"OK_ButtonText","OK","","","","","Ok","","","","","확인","","ОК",""
"Cancel_ButtonText","Cancel","","","","","Annuler","","","","","취소","","Отмена",""
"Clear_ButtonText","Clear","","","","","Effacer","","","","","","","Очистить",""
"Searchbar_Prompt","Search","","","","","Rechercher","","","","","검색","","Поиск",""
"ColorEditor_DefaultWindowTitle","Select a color","","","","","Choisir une couleur","","","","","색상 선택","","Выберите цвет",""
"GradientEditor_DefaultWindowTitle","Create a gradient","","","","","Créer un dégradé","","","","","","","Создать градиент",""
"GradientPalette_WindowTitle","Gradients","","","","","Dégradés","","","","","","","Градиенты",""
"GradientInfo_WindowTitle","Gradient Info","","","","","Info de dégradé","","","","","","","Информация о градиенте",""
"ColorProperties_WindowTitle","Color Properties","","","","","Propriétés de couleur","","","","","색상 속성","","Свойства цвета",""
"Settings_WindowTitle","Settings","","","","","Paramètres","","","","","설정","","Параметры",""
"ColorEditor_ToolbarButtonText","Color Editor","","","","","Éditeur de couleurs","","","","","색상 편집","","Редактор цвета",""
"GradientEditor_ToolbarButtonText","Gradient Editor","","","","","Éditeur de dégradé","","","","","그라데이션 편집","","Редактор градиента",""
"ColorProperties_ToolbarButtonText","Color Properties","","","","","Propriétés de couleur","","","","","색상 속성","","Свойства цвета",""
"Settings_ToolbarButtonText","Settings","","","","","Paramètres","","","","","설정","","Параметры",""
"ColorEditor_ToolbarButtonHintText","Open the Color Editor","","","","","Ouvrir l'éditeur de couleurs","","","","","색상 편집 열기","","Открыть редактор цвета",""
"GradientEditor_ToolbarButtonHintText","Open the Gradient Editor","","","","","Ouvrir l'éditeur de dégradé","","","","","그라데이션 편집 열기","","Открыть редактор градиента",""
"ColorProperties_ToolbarButtonHintText","Open Color Properties","","","","","Ouvrir les propriétés de couleur","","","","","색상 속성 변경","","Открыть свойства цвета",""
"Settings_ToolbarButtonHintText","Open Settings","","","","","Ouvrir les paramètres","","","","","설정 열기","","Открыть параметры",""
"AutoLoadColorPropertiesFailure_Message","Color Properties could not be automatically loaded. Please make sure that you have allowed HTTP requests for setup.rbxcdn.com and try again.","","","","","Les propriétés de couleur n'ont pas pu être chargées automatiquement. Veuillez vous assurer que vous avez autorisé les requêtes HTTP pour setup.rbxcdn.com et réessayez.","","","","","","","Не удалось автоматически загрузить параметры цвета. Пожалуйста, убедитесь, что разрешены HTTP запросы для setup.rbxcdn.com и повторите попытку.",""
"Temperature_Label","Temperature","","","","","Température","","","","","색 온도","","Температура",""
"Web_BuiltInPaletteName","Web Colors","BuiltInPalettes","","","","","","","","","","","Веб цвета",""
