"Key","Source","Context","Example","zh-CN","zh-TW","fr","de","id","it","ja","ko","pt-PT","ru","es-ES"
"RGB_ColorType","RGB","","","RGB","RGB","RGB","RGB","RGB","RGB","RGB","RGB","RGB","RGB","RGB"
"CMYK_ColorType","CMYK","","","CMYK","CMYK","CMYK","CMYK","CMYK","CMYK","CMYK","CMYK","CMYK","CMYK","CMYK"
"HSB_ColorType","HSB","","","HSB","HSB","HSB","HSB","HSB","HSB","HSB","HSB","HSB","HSB","HSB"
"HSL_ColorType","HSL","","","HSL","HSL","HSL","HSL","HSL","HSL","HSL","HSL","HSL","HSL","HSL"
"HWB_ColorType","HWB","","","HWB","HWB","HWB","HWB","HWB","HWB","HWB","HWB","HWB","HWB","HWB"
"Lab_ColorType","Lab","","","Lab","Lab","Lab","Lab","Lab","Lab","Lab","Lab","Lab","Lab","Lab"
"Luv_ColorType","Luv","","","Luv","Luv","Luv","Luv","Luv","Luv","Luv","Luv","Luv","Luv","Luv"
"Lchab_ColorType","LCh(ab)","","","LCh(ab)","LCh(ab)","LCh(ab)","LCh(ab)","LCh(ab)","LCh(ab)","LCh(ab)","LCh(ab)","LCh(ab)","LCh(ab)","LCh(ab)"
"Lchuv_ColorType","LCh(uv)","","","LCh(uv)","LCh(uv)","LCh(uv)","LCh(uv)","LCh(uv)","LCh(uv)","LCh(uv)","LCh(uv)","LCh(uv)","LCh(uv)","LCh(uv)"
"xyY_ColorType","xyY","","","xyY","xyY","xyY","xyY","xyY","xyY","xyY","xyY","xyY","xyY","xyY"
"XYZ_ColorType","XYZ","","","XYZ","XYZ","XYZ","XYZ","XYZ","XYZ","XYZ","XYZ","XYZ","XYZ","XYZ"
"Hue_Component","Hue","","","Hue","Hue","Hue","Hue","Hue","Hue","Hue","Hue","Hue","Hue","Hue"
"Saturation_Component","Saturation","","","Saturation","Saturation","Saturation","Saturation","Saturation","Saturation","Saturation","Saturation","Saturation","Saturation","Saturation"
"HSB_Brightness_Component","Brightness","","","Brightness","Brightness","Brightness","Brightness","Brightness","Brightness","Brightness","Brightness","Brightness","Brightness","Brightness"
"HSL_Lightness_Component","Lightness","","","Lightness","Lightness","Lightness","Lightness","Lightness","Lightness","Lightness","Lightness","Lightness","Lightness","Lightness"
"RGB_Red_Component","Red","","","Red","Red","Red","Red","Red","Red","Red","Red","Red","Red","Red"
"RGB_Green_Component","Green","","","Green","Green","Green","Green","Green","Green","Green","Green","Green","Green","Green"
"RGB_Blue_Component","Blue","","","Blue","Blue","Blue","Blue","Blue","Blue","Blue","Blue","Blue","Blue","Blue"
"CMYK_Cyan_Component","Cyan","","","Cyan","Cyan","Cyan","Cyan","Cyan","Cyan","Cyan","Cyan","Cyan","Cyan","Cyan"
"CMYK_Magenta_Component","Magenta","","","Magenta","Magenta","Magenta","Magenta","Magenta","Magenta","Magenta","Magenta","Magenta","Magenta","Magenta"
"CMYK_Yellow_Component","Yellow","","","Yellow","Yellow","Yellow","Yellow","Yellow","Yellow","Yellow","Yellow","Yellow","Yellow","Yellow"
"CMYK_Key_Component","Key","","","Key","Key","Key","Key","Key","Key","Key","Key","Key","Key","Key"
"OK_ButtonText","OK","","","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK"
"Cancel_ButtonText","Cancel","","","Cancel","Cancel","Annuler","Cancel","Cancel","Cancel","Cancel","Cancel","Cancel","Cancel","Cancel"
"Searchbar_Prompt","Search","","","Search","Search","Search","Search","Search","Search","Search","Search","Search","Search","Search"
"ColorEditor_DefaultWindowTitle","Select a color","","","Select a color","Select a color","Select a color","Select a color","Select a color","Select a color","Select a color","Select a color","Select a color","Select a color","Select a color"
"GradientEditor_DefaultWindowTitle","Create a gradient","","","Create a gradient","Create a gradient","Create a gradient","Create a gradient","Create a gradient","Create a gradient","Create a gradient","Create a gradient","Create a gradient","Create a gradient","Create a gradient"
"GradientPalette_WindowTitle","Gradients","","","Gradients","Gradients","Gradients","Gradients","Gradients","Gradients","Gradients","Gradients","Gradients","Gradients","Gradients"
"GradientInfo_WindowTitle","Gradient Info","","","Gradient Info","Gradient Info","Gradient Info","Gradient Info","Gradient Info","Gradient Info","Gradient Info","Gradient Info","Gradient Info","Gradient Info","Gradient Info"
"ColorProperties_WindowTitle","Color Properties","","","Color Properties","Color Properties","Color Properties","Color Properties","Color Properties","Color Properties","Color Properties","Color Properties","Color Properties","Color Properties","Color Properties"
"Settings_WindowTitle","Settings","","","Settings","Settings","Settings","Settings","Settings","Settings","Settings","Settings","Settings","Settings","Settings"
"Copic_BuiltInPaletteName","Copic Colors","BuiltInPalettes","","Copic Colors","Copic Colors","Copic Colors","Copic Colors","Copic Colors","Copic Colors","Copic Colors","Copic Colors","Copic Colors","Copic Colors","Copic Colors"
"Web_BuiltInPaletteName","Web Colors","BuiltInPalettes","","Web Colors","Web Colors","Web Colors","Web Colors","Web Colors","Web Colors","Web Colors","Web Colors","Web Colors","Web Colors","Web Colors"
"Sequential_CBDataClass","Sequential","ColorBrewerPalettes","","Sequential","Sequential","Sequential","Sequential","Sequential","Sequential","Sequential","Sequential","Sequential","Sequential","Sequential"
"Diverging_CBDataClass","Diverging","ColorBrewerPalettes","","Diverging","Diverging","Diverging","Diverging","Diverging","Diverging","Diverging","Diverging","Diverging","Diverging","Diverging"
"Qualitative_CBDataClass","Qualitative","ColorBrewerPalettes","","Qualitative","Qualitative","Qualitative","Qualitative","Qualitative","Qualitative","Qualitative","Qualitative","Qualitative","Qualitative","Qualitative"
"DataClass_SelectorText","Data Type","ColorBrewerPalettes","","Data Type","Data Type","Data Type","Data Type","Data Type","Data Type","Data Type","Data Type","Data Type","Data Type","Data Type"
"NumDataClass_SelectorText","Number of Data Classes","ColorBrewerPalettes","","Number of Data Classes","Number of Data Classes","Number of Data Classes","Number of Data Classes","Number of Data Classes","Number of Data Classes","Number of Data Classes","Number of Data Classes","Number of Data Classes","Number of Data Classes","Number of Data Classes"
"NoMatchingSchemes_Message","There are no schemes that satisfy this criteria","ColorBrewerPalettes","","There are no schemes that satisfy this criteria","There are no schemes that satisfy this criteria","There are no schemes that satisfy this criteria","There are no schemes that satisfy this criteria","There are no schemes that satisfy this criteria","There are no schemes that satisfy this criteria","There are no schemes that satisfy this criteria","There are no schemes that satisfy this criteria","There are no schemes that satisfy this criteria","There are no schemes that satisfy this criteria","There are no schemes that satisfy this criteria"
"Hex_ColorType","Hex","ColorInformation","","Hex","Hex","Hex","Hex","Hex","Hex","Hex","Hex","Hex","Hex","Hex"
"Web_ColorType","Web","ColorInformation","","Web","Web","Web","Web","Web","Web","Web","Web","Web","Web","Web"
"NoAPIAlert_MainText","The Roblox API data has not been loaded. Please use the Load button to load the data.","ColorProperties","","The Roblox API data has not been loaded. Please use the Load button to load the data.","The Roblox API data has not been loaded. Please use the Load button to load the data.","The Roblox API data has not been loaded. Please use the Load button to load the data.","The Roblox API data has not been loaded. Please use the Load button to load the data.","The Roblox API data has not been loaded. Please use the Load button to load the data.","The Roblox API data has not been loaded. Please use the Load button to load the data.","The Roblox API data has not been loaded. Please use the Load button to load the data.","The Roblox API data has not been loaded. Please use the Load button to load the data.","The Roblox API data has not been loaded. Please use the Load button to load the data.","The Roblox API data has not been loaded. Please use the Load button to load the data.","The Roblox API data has not been loaded. Please use the Load button to load the data."
